"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5IlbMvkcUIjcIyoRfDROfu","Pickup","spotify:artist:2oBG74gAocPMFv6Ij9ykdo, spotify:artist:6OvPeLnrLk4v7X7tmjnOiO, spotify:artist:3mWqCmX0xuzBJN648XSBrE, spotify:artist:4JZ2uZ41sx2hqx7TcwM18g","Seedhe Maut, Hurricane, DL91 Era, OG Lucifer","spotify:album:2Jc0evKv7asNZMx32rQHrF","DL91 FM","spotify:artist:2oBG74gAocPMFv6Ij9ykdo, spotify:artist:6OvPeLnrLk4v7X7tmjnOiO, spotify:artist:3mWqCmX0xuzBJN648XSBrE","Seedhe Maut, Hurricane, DL91 Era","2025-05-15","https://i.scdn.co/image/ab67616d0000b273a9e75a1283dfda275de82714","1","10","164574","https://p.scdn.co/mp3-preview/d05dc1f88ab490821e23494276c77021634d5e1e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","57","QM6P42534260","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6xr4S4BNFVaHlwlkYzyj6R","11K","spotify:artist:2oBG74gAocPMFv6Ij9ykdo","Seedhe Maut","spotify:album:6pfy67TobYnXA5vrNa2aCB","Lunch Break","spotify:artist:2oBG74gAocPMFv6Ij9ykdo","Seedhe Maut","2023-08-19","https://i.scdn.co/image/ab67616d0000b273486e6745e64f8a48b9347650","1","1","174222","https://p.scdn.co/mp3-preview/175cbee63b9697e362a827282ae4050e003f8c7f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","61","INA4Z2200098","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2Xzbh7k2ysgUtC9MIncLR4","Sensitive","spotify:artist:5C1S9XwxMuuCciutwMhp5t, spotify:artist:2oBG74gAocPMFv6Ij9ykdo, spotify:artist:6OvPeLnrLk4v7X7tmjnOiO","KR$NA, Seedhe Maut, Hurricane","spotify:album:5U4ZWKgrnmAdWNyLBG7DAU","Yours Truly","spotify:artist:5C1S9XwxMuuCciutwMhp5t","KR$NA","2025-05-22","https://i.scdn.co/image/ab67616d0000b27319c493ed7d737af499d6ce5b","1","4","224000","https://p.scdn.co/mp3-preview/80c18eeb89281ca0ed3d79c337d461883a6055a6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","INK492500330","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1Y7FQSN29oNXHZBGMkADeH","Shaayar","spotify:artist:2sSTjTnRtGa3KrEjMoMaAe, spotify:artist:2oBG74gAocPMFv6Ij9ykdo","Bharat Chauhan, Seedhe Maut","spotify:album:4q0cNzhq7PZQX0ugAq3nhn","Shaayar","spotify:artist:2sSTjTnRtGa3KrEjMoMaAe","Bharat Chauhan","2024-02-03","https://i.scdn.co/image/ab67616d0000b27397585d74e0b581a23593f613","1","1","274104","https://p.scdn.co/mp3-preview/d18375bd8be747df83847f5f112a0a4d0e6b8984?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","QM4TW2442121","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4pEGr8rZ6w5NplICrHxcOh","Maar Kaat","spotify:artist:2oBG74gAocPMFv6Ij9ykdo, spotify:artist:6OvPeLnrLk4v7X7tmjnOiO, spotify:artist:3mWqCmX0xuzBJN648XSBrE, spotify:artist:1IbSPJLkIqkDmIoyysS3Vn","Seedhe Maut, Hurricane, DL91 Era, Lil Bhavi","spotify:album:2Jc0evKv7asNZMx32rQHrF","DL91 FM","spotify:artist:2oBG74gAocPMFv6Ij9ykdo, spotify:artist:6OvPeLnrLk4v7X7tmjnOiO, spotify:artist:3mWqCmX0xuzBJN648XSBrE","Seedhe Maut, Hurricane, DL91 Era","2025-05-15","https://i.scdn.co/image/ab67616d0000b273a9e75a1283dfda275de82714","1","4","64390","https://p.scdn.co/mp3-preview/faab5e7832ea453d0d7507acd5f47e043d83c0a0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","QM6P42534028","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6XPInH3SNE6qh2jpMXdAzP","Akatsuki","spotify:artist:2oBG74gAocPMFv6Ij9ykdo, spotify:artist:4MJZBb8KABfKw0gzfgacpO","Seedhe Maut, Raga","spotify:album:6pfy67TobYnXA5vrNa2aCB","Lunch Break","spotify:artist:2oBG74gAocPMFv6Ij9ykdo","Seedhe Maut","2023-08-19","https://i.scdn.co/image/ab67616d0000b273486e6745e64f8a48b9347650","1","24","155769","https://p.scdn.co/mp3-preview/1c580589e68b77b6228e5468523f6139a1dc2525?cid=9950ac751e34487dbbe027c4fd7f8e99","true","55","INA4Z2200138","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7MIXOmJ6YaFEOIceEMs28B","Bure Din","spotify:artist:2oBG74gAocPMFv6Ij9ykdo, spotify:artist:1FvjvACFvko2Z91IvDljrx","Seedhe Maut, Mick Jenkins","spotify:album:1nhr7X6E4nrKYtJm25zGIO","Bure Din","spotify:artist:2oBG74gAocPMFv6Ij9ykdo","Seedhe Maut","2024-06-14","https://i.scdn.co/image/ab67616d0000b27314691359e2723059bbec9cde","1","1","265000","https://p.scdn.co/mp3-preview/5f9e3e7d55e3aad06e77b8afa1befa21161dbfa1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","TCAIJ2428146","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0RWx7EB3id2kMmIS9FmxlP","TT","spotify:artist:2oBG74gAocPMFv6Ij9ykdo","Seedhe Maut","spotify:album:1pxuDycn6c53mE8cBFrS8j","TT","spotify:artist:2oBG74gAocPMFv6Ij9ykdo","Seedhe Maut","2024-06-27","https://i.scdn.co/image/ab67616d0000b273adfbc04d3e9e526ccf62b4d0","1","1","237014","https://p.scdn.co/mp3-preview/9b1b7ccee32f5e7d25ae905b70bdfaac9b81a05c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","56","TCAIK2474820","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6UG7zpXNJJsl1yR5hmbUNk","नalla Freestyle","spotify:artist:2oBG74gAocPMFv6Ij9ykdo, spotify:artist:4rbhmiCpAkyvqqtTRzjJGf","Seedhe Maut, DJ Sa","spotify:album:6EQv8xJLg9a2QENKD4l0Qz","नalla Freestyle","spotify:artist:2oBG74gAocPMFv6Ij9ykdo, spotify:artist:4rbhmiCpAkyvqqtTRzjJGf","Seedhe Maut, DJ Sa","2022-09-13","https://i.scdn.co/image/ab67616d0000b273c834e1097492fcc1d7fda8d4","1","1","177316","https://p.scdn.co/mp3-preview/949c7e6d4d4aed99fc24c5c7545d625fc2a83941?cid=9950ac751e34487dbbe027c4fd7f8e99","true","54","INA4Z2200062","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4H9YOR3rPqQKpBy6JLAQJy","Champions","spotify:artist:2oBG74gAocPMFv6Ij9ykdo, spotify:artist:3XbsFoxsYfrJyo9VZrbM16","Seedhe Maut, Rawal","spotify:album:6pfy67TobYnXA5vrNa2aCB","Lunch Break","spotify:artist:2oBG74gAocPMFv6Ij9ykdo","Seedhe Maut","2023-08-19","https://i.scdn.co/image/ab67616d0000b273486e6745e64f8a48b9347650","1","10","213937","https://p.scdn.co/mp3-preview/69e8f93de77861b169e21263232e1134201a9863?cid=9950ac751e34487dbbe027c4fd7f8e99","true","56","INA4Z2200126","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3usqexd5uUTl5SkLme0HKX","MUDDA (feat. Seedhe Maut)","spotify:artist:3N1efxORHI0hvpUGNr0QpW, spotify:artist:6zpUQnCceOC1hkBQWLrZKk, spotify:artist:2oBG74gAocPMFv6Ij9ykdo","YUNG SAMMY, Wamp, Seedhe Maut","spotify:album:0AqcoHygWykLi0IqNp95vn","MUDDA (feat. Seedhe Maut)","spotify:artist:3N1efxORHI0hvpUGNr0QpW, spotify:artist:6zpUQnCceOC1hkBQWLrZKk","YUNG SAMMY, Wamp","2025-10-15","https://i.scdn.co/image/ab67616d0000b273844bc27ce4d57b2e7ee6d551","1","1","171787","https://p.scdn.co/mp3-preview/e7d73a4c0f411b05be6ba755faf23dc23015c614?cid=9950ac751e34487dbbe027c4fd7f8e99","true","56","USA2P2550453","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1pLpEdOWbZvbX1s6gOizQC","RED","spotify:artist:2oBG74gAocPMFv6Ij9ykdo, spotify:artist:5hUQdeBxFRCATjJnUo5Jdx","Seedhe Maut, Hisab","spotify:album:23LRKNGlqMMAZ9yaIHmf2s","Kshama","spotify:artist:2oBG74gAocPMFv6Ij9ykdo","Seedhe Maut","2024-12-14","https://i.scdn.co/image/ab67616d0000b273eb9b66dd59981e18656a7da8","1","1","303937","https://p.scdn.co/mp3-preview/a6c21593047f4a194059b503e2e8bd838cdb56aa?cid=9950ac751e34487dbbe027c4fd7f8e99","true","56","ES71G2432322","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:27HaPCMAOKEdshaYi6oXNG","Tour Shit!","spotify:artist:2oBG74gAocPMFv6Ij9ykdo","Seedhe Maut","spotify:album:4c755JwpPirzUfradPBPp1","Tour Shit!","spotify:artist:2oBG74gAocPMFv6Ij9ykdo","Seedhe Maut","2024-04-06","https://i.scdn.co/image/ab67616d0000b2736c69833e284a95f23bc96308","1","1","166875","https://p.scdn.co/mp3-preview/ce3417db4d29041c2cedf64dc2814cae540414c4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","52","TCAIC2479175","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4WKsXhtgLA6zbJ6HWfHUWq","Asal G","spotify:artist:2oBG74gAocPMFv6Ij9ykdo, spotify:artist:1LAdnp9wIdKClX7Cool0GD, spotify:artist:0nES9rTgJJV7uJF2cIkJNS","Seedhe Maut, Faris Shafi, Talal Qureshi","spotify:album:6pfy67TobYnXA5vrNa2aCB","Lunch Break","spotify:artist:2oBG74gAocPMFv6Ij9ykdo","Seedhe Maut","2023-08-19","https://i.scdn.co/image/ab67616d0000b273486e6745e64f8a48b9347650","1","16","221142","https://p.scdn.co/mp3-preview/1ad4657f641f0f546a982c5eb0067e14c0887701?cid=9950ac751e34487dbbe027c4fd7f8e99","true","55","INA4Z2200131","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2lnBEAaX9tzOGsSPRTCKCe","Guldasta","spotify:artist:2oBG74gAocPMFv6Ij9ykdo, spotify:artist:6OvPeLnrLk4v7X7tmjnOiO, spotify:artist:3mWqCmX0xuzBJN648XSBrE","Seedhe Maut, Hurricane, DL91 Era","spotify:album:2Jc0evKv7asNZMx32rQHrF","DL91 FM","spotify:artist:2oBG74gAocPMFv6Ij9ykdo, spotify:artist:6OvPeLnrLk4v7X7tmjnOiO, spotify:artist:3mWqCmX0xuzBJN648XSBrE","Seedhe Maut, Hurricane, DL91 Era","2025-05-15","https://i.scdn.co/image/ab67616d0000b273a9e75a1283dfda275de82714","1","19","192000","https://p.scdn.co/mp3-preview/728b82a7ff782abcb51ba55041d8c0735c7fd458?cid=9950ac751e34487dbbe027c4fd7f8e99","true","51","QM6P42534496","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6m0uNvHh5zG9FJmbxVxD1N","Chalo Chalein","spotify:artist:72beYOeW2sb2yfcS4JsRvb, spotify:artist:2oBG74gAocPMFv6Ij9ykdo","Ritviz, Seedhe Maut","spotify:album:1kJnEAZnHa1doqZg93ibhV","Chalo Chalein","spotify:artist:72beYOeW2sb2yfcS4JsRvb","Ritviz","2019-12-23","https://i.scdn.co/image/ab67616d0000b273c09f9cf708c968385ad05b26","1","1","184370","https://p.scdn.co/mp3-preview/9c7c6e62f0cb59c5b00e0ec3b887544d75183f44?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","FRX201997761","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5b7uW4nymqINRi7HrAUL57","Khush Nahi","spotify:artist:2oBG74gAocPMFv6Ij9ykdo","Seedhe Maut","spotify:album:6Mwca6sXGKb25VkAc1e6X3","SHAKTI","spotify:artist:2oBG74gAocPMFv6Ij9ykdo","Seedhe Maut","2024-08-15","https://i.scdn.co/image/ab67616d0000b2739750614dd177fa9137726f07","1","4","194800","https://p.scdn.co/mp3-preview/4fe8302adc1ebf44c52ba683765ce61596a84256?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","DGA092444250","spotify:user:","1970-01-01T00:00:00Z"
